agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
1201,1.7157142857142857,Agrees,https://www.allsides.com/news-source/weekly-standard,right,700,The Weekly Standard,1901
11390,1.9175084175084176,Agrees,https://www.allsides.com/news-source/theblaze-bias,right,5940,TheBlaze.com,17330
2356,3.1246684350132625,Absolutely Agrees,https://www.allsides.com/news-source/thinkprogress-bias,left,754,ThinkProgress,3110
3663,1.1990180032733224,Somewhat Agrees,https://www.allsides.com/news-source/time-magazine-news-media-bias,left-center,3055,Time Magazine,6718
8656,0.6424224432239869,Disagrees,https://www.allsides.com/news-source/townhall-bias,right,13474,Townhall,22130
183,1.2708333333333333,Somewhat Agrees,https://www.allsides.com/news-source/truth-or-fiction,center,144,Truth or Fiction,327
249,0.9054545454545454,Somewhat Disagrees,https://www.allsides.com/news-source/truthout,left-center,275,TruthOut,524
1356,0.8664536741214057,Somewhat Disagrees,https://www.allsides.com/news-source/us-news-and-world-report,left-center,1565,U.S. News & World Report,2921
261,0.8080495356037152,Somewhat Disagrees,https://www.allsides.com/news-source/univision,left-center,323,Univision,584
364,1.4736842105263157,Somewhat Agrees,https://www.allsides.com/news-source/upworthy,left,247,Upworthy,611
11673,1.308045719408337,Somewhat Agrees,https://www.allsides.com/news-source/usa-today-media-bias,center,8924,USA TODAY,20597
3134,1.5607569721115537,Agrees,https://www.allsides.com/news-source/vanity-fair,left-center,2008,Vanity Fair,5142
773,3.1810699588477367,Absolutely Agrees,https://www.allsides.com/news-source/vice-media-bias,left,243,Vice,1016
103,0.9196428571428571,Somewhat Disagrees,https://www.allsides.com/news-source/volante,center,112,Volante,215
10297,0.871298019969538,Somewhat Disagrees,https://www.allsides.com/news-source/vox-news-media-bias,left,11818,Vox,22115
109,0.7956204379562044,Somewhat Disagrees,https://www.allsides.com/news-source/vt-digger,left-center,137,VT Digger,246
14,1.2727272727272727,Somewhat Agrees,https://www.allsides.com/news-source/wake-politics-media-bias,center,11,Wake Up to Politics,25
4407,1.2984678845020625,Somewhat Agrees,https://www.allsides.com/news-source/wall-street-journal-opinion,right-center,3394,Wall Street Journal - Editorial,7801
11511,0.6695166637585064,Disagrees,https://www.allsides.com/news-source/wall-street-journal-media-bias,center,17193,Wall Street Journal - News,28704
4053,1.7989347536617843,Agrees,https://www.allsides.com/news-source/washington-examiner,right-center,2253,Washington Examiner,6306
398,0.9851485148514851,Somewhat Disagrees,https://www.allsides.com/news-source/washington-free-beacon,right,404,Washington Free Beacon,802
155,1.183206106870229,Somewhat Agrees,https://www.allsides.com/news-source/washington-monthly,left-center,131,Washington Monthly,286
23100,1.624358343295127,Agrees,https://www.allsides.com/news-source/washington-post-media-bias,left-center,14221,Washington Post,37321
20387,1.9808589195491644,Agrees,https://www.allsides.com/news-source/washington-times-bias,right-center,10292,Washington Times,30679
461,0.944672131147541,Somewhat Disagrees,https://www.allsides.com/news-source/watchdogorg,right-center,488,Watchdog.org,949
794,2.335294117647059,Strongly Agrees,https://www.allsides.com/news-source/western-journalism,right,340,Western Journalism,1134
109,0.8257575757575758,Somewhat Disagrees,https://www.allsides.com/news-source/wfae,center,132,WFAE,241
270,1.3917525773195876,Somewhat Agrees,https://www.allsides.com/news-source/wgbh,center,194,WGBH,464
37,1.3703703703703705,Somewhat Agrees,https://www.allsides.com/news-source/whatfinger-news-media-bias,right,27,Whatfinger News,64
161,1.1838235294117647,Somewhat Agrees,https://www.allsides.com/news-source/wisconsin-gazette,left-center,136,Wisconsin Gazette,297
405,2.515527950310559,Strongly Agrees,https://www.allsides.com/news-source/wndcom,right,161,WND.com,566
1469,1.153061224489796,Somewhat Agrees,https://www.allsides.com/news-source/yahoo-screen-0,left,1274,Yahoo! News,2743
331,2.06875,Strongly Agrees,https://www.allsides.com/news-source/yes-magazine,left,160,Yes! Magazine,491
